資料來源	檔案名稱	頁碼	行號	中文片名	上映日期	國別地區	發行商	製片商	統計起始日	統計結束日	統計週期	本期上映院數	本期銷售票數	本期銷售金額	累計上映天數	上映週數	最大上映院數	累計銷售票數	累計銷售金額	統計中
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	38	加百列的東非七十天	2018-04-27	巴西	佳映娛樂國際股份有限公司	FILMS BOUTIQUESA	2018-05-14	2018-05-20	weekly	1	10	2340	NULL	4.0	5	877	178835	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	39	復仇者聯盟：無限之戰	2018-04-25	美國	台灣華特迪士尼股份有限公司	BUENA VISTAINTERNATIONAL,INC.	2018-05-14	2018-05-20	weekly	91	142057	34590507	NULL	4.0	91	2447246	607777195	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	40	鬼病院：靈異直播	2018-04-20	南韓	車庫娛樂股份有限公司	SHOWBOX CORP.	2018-05-14	2018-05-20	weekly	37	5025	1150469	NULL	5.0	39	105943	24145857	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	41	圍雞總動員	2018-04-20	美國	美商美國環球影片股份有限公司台灣分公司	UNIVERSALINTERNATIONALFILMS LLC	2018-05-14	2018-05-20	weekly	33	863	202690	NULL	5.0	74	88237	20174753	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	42	人生無限露營車	2018-04-20	義大利	傳影互動股份有限公司	(法國)BAC FILMSDISTRIBUTION	2018-05-14	2018-05-20	weekly	2	149	31670	NULL	5.0	10	5697	1223262	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	3	43	厄夢娃娃屋	2018-04-20	法國	双喜電影發行股份有限公司	KINOLOGY	2018-05-14	2018-05-20	weekly	1	40	9990	NULL	5.0	24	12297	2853756	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	44	野蠻公主玩婚記	2018-04-20	南韓	華聯國際影音股份有限公司	CJ E&MCORPORATION	2018-05-14	2018-05-20	weekly	2	12	1860	NULL	5.0	9	4615	1024477	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	45	獨帆之聲	2018-04-20	法國	采昌國際多媒體股份有限公司	STUDIOCANAL	2018-05-14	2018-05-20	weekly	1	5	1180	NULL	5.0	17	7392	1675199	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	46	盛情款待	2018-04-13	中華民國	天大影業股份有限公司	天大影業股份有限公司  ##(日本)株式会社松竹撮影所	2018-05-14	2018-05-20	weekly	3	424	87375	NULL	6.0	9	11573	2472609	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	47	毀滅大作戰	2018-04-12	美國	美商華納兄弟（遠東）股份有限公司台灣分公司	WARNER BROS.PICTURESINTERNATIONAL.	2018-05-14	2018-05-20	weekly	74	7303	1697332	NULL	6.0	87	571918	134393550	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	48	終極殺陣5	2018-04-12	法國	海樂影業股份有限公司	T5 PRODUCTION	2018-05-14	2018-05-20	weekly	7	183	44600	NULL	6.0	51	113322	25607510	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	49	比得兔	2018-04-04	美國	博偉電影股份有限公司	SONY PICTURESRELEASINGINTERNATIONALCORPORATION.	2018-05-14	2018-05-20	weekly	7	425	92935	NULL	7.0	86	118421	26961268	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	50	噤界	2018-04-04	美國	美商美國派拉蒙影片股份有限公司台灣分公司	PARAMOUNTPICTURESCORPORATION	2018-05-14	2018-05-20	weekly	9	266	63785	NULL	7.0	84	309749	71954359	True
全國電影票房2018年05/14-05/20統計資訊	131.pdf	4	51	雨妳再次相遇	2018-04-04	南韓	車庫娛樂股份有限公司	LOTTEENTERTAINMENT	2018-05-14	2018-05-20	weekly	6	115	24675	NULL	7.0	49	80150	18498230	True
